transaction_id,reference_number,transaction_datetime,transaction_description,originator_name,originator_entity_type,originator_id,originator_gender,originator_country,originator_pep_flag,originator_sanctions_flag,originator_exited_flag,originator_exit_date,originator_sar_flag,originator_dra_alert_flag,originator_dra_score,originator_date_of_birth_or_incorp,beneficiary_name,beneficiary_entity_type,beneficiary_id,beneficiary_gender,beneficiary_country,beneficiary_pep_flag,beneficiary_sanctions_flag,beneficiary_exited_flag,beneficiary_exit_date,beneficiary_sar_flag,beneficiary_dra_alert_flag,beneficiary_dra_score,beneficiary_date_of_birth_or_incorp,amount,currency,amount_usd,transaction_type,channel,product,scenario_tag
T000000000001,FP-DUBB9MIT3VHT,2025-07-22T19:45:35,Internal transfer INV7523505,Aisha Lopez,INDIVIDUAL,GBID-1R1DWWO8NB,F,GB,0,0,0,,0,0,349,11/07/91,Ahmed Services Ltd,BUSINESS,USREG-TD44K1J6FP8H,X,US,0,0,0,,0,0,469,28/06/13,2078.56,USD,2078.56,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
T000000000002,FP-RAGHKE79E8CD,2025-07-22T20:43:35,Transfer INV1941538,Ahmed Services Ltd,BUSINESS,USREG-TD44K1J6FP8H,X,US,0,0,0,,0,0,469,28/06/13,Wei Smith,INDIVIDUAL,PKID-BUGR6E7GA2,M,PK,0,0,0,,0,0,375,28/12/89,2093.29,USD,2093.29,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
T000000000003,FP-0EW9JZF4EPM7,2025-07-22T21:15:35,Settlement INV2217514,Wei Smith,INDIVIDUAL,PKID-BUGR6E7GA2,M,PK,0,0,0,,0,0,375,28/12/89,Priya Wilson,INDIVIDUAL,NLID-911PJQ50XC,M,NL,0,0,0,,1,0,278,23/06/73,2083.07,USD,2083.07,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
T000000000004,FP-3M2I3QM6DTEC,2025-07-23T00:42:35,Internal transfer INV2707103,Priya Wilson,INDIVIDUAL,NLID-911PJQ50XC,M,NL,0,0,0,,1,0,278,23/06/73,Smith Capital GmbH,BUSINESS,USREG-31YRUJOQW5DS,X,US,0,0,0,,1,0,274,07/07/16,2115.78,USD,2115.78,TRANSFER,FASTER_PAYMENTS,CURRENT_ACCT,RAPID_MOVEMENT
T000000000005,ACH-TJWOFC57PACO,2025-04-26T22:34:32,Loan repayment INV3681751,Elena Tan,INDIVIDUAL,DEID-9IN4OLR6N9,M,DE,0,0,0,,0,0,632,30/11/66,Omar Davies,INDIVIDUAL,SGID-G0XTDNWZZG,F,SG,0,0,0,,0,1,989,12/02/62,1169.37,GBP,1485.1,TRANSFER,ACH,PREPAID,HIGH_CONCENTRATION
T000000000006,SWIFT-4NP4D8J2X707,2025-02-02T15:59:12,Internal transfer INV3137753,Daniel Jones,INDIVIDUAL,USID-6APFXI5N53,F,US,0,0,0,,0,0,830,28/03/95,Elena Tan,INDIVIDUAL,DEID-9IN4OLR6N9,M,DE,0,0,0,,0,0,632,30/11/66,1038.22,EUR,1121.28,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000007,SWIFT-YDWOX06ZXUNH,2025-02-02T16:04:12,Internal transfer INV3615580,Daniel Jones,INDIVIDUAL,USID-6APFXI5N53,F,US,0,0,0,,0,0,830,28/03/95,Patel Exchange Pte,BUSINESS,DEREG-F8R1PC6KTTGN,X,DE,0,0,0,,0,0,515,25/05/16,1379.74,EUR,1490.12,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000008,SWIFT-I88BYCZNYRB9,2025-02-02T16:09:12,Transfer INV8879249,Daniel Jones,INDIVIDUAL,USID-6APFXI5N53,F,US,0,0,0,,0,0,830,28/03/95,Jack Kowalski,INDIVIDUAL,DEID-5PIZX3HCWS,F,DE,0,0,0,,0,0,470,10/11/65,1387.71,EUR,1498.73,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000009,SWIFT-6MH8PU9JN01N,2025-02-02T16:14:12,Loan repayment INV8736647,Daniel Jones,INDIVIDUAL,USID-6APFXI5N53,F,US,0,0,0,,0,0,830,28/03/95,Hannah Ivanov,INDIVIDUAL,FRID-E1U24ZQFEZ,F,FR,0,0,0,,0,0,618,16/03/87,529.29,EUR,571.63,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
T000000000010,SWIFT-7LDM1VL7UO4G,2025-02-02T16:19:12,Loan repayment INV4911206,Daniel Jones,INDIVIDUAL,USID-6APFXI5N53,F,US,0,0,0,,0,0,830,28/03/95,Aisha Rossi,INDIVIDUAL,GBID-L8CGN0T6DV,F,GB,0,0,0,,0,0,721,05/09/75,64.42,EUR,69.57,TRANSFER,WIRE,CURRENT_ACCT,FAN_OUT_FAN_IN
